name,parent,amount
Orthodontists,Therapeutic,6.6
Costume Attendants,Performing Arts,6.6
Traffic Technicians,CHECK,6.6
Nurse Midwives,Therapeutic,6.5
"Dentists, All Other ",Therapeutic,6.4
"Explosives Workers, ",Construction,6.3
"Model Makers, Metal ",Production,6.3
Animal Scientists,Animal Systems,6.1
Epidemiologists,Diagnostics,6.1
Mine Cutting and Cha,Construction,6.1
Library Science Teac,Teaching,6
Motion Picture Proje,Recreation,5.8
Wind Turbine Service,Repair Installation,5.8
Broadcast News Analy,Journalism,5.7
Paperhangers,Construction,5.7
Fabric and Apparel P,Production,5.5
"Geography Teachers, ",Teaching,5
Transit and Railroad,Law Enforcement,4.9
"Makeup Artists, Thea",Performing Arts,4.8
Models,Merchandising,4.8
Rail Transportation ,Transport Ops,4.6
Gaming Managers,Recreation,4.5
"Logging Workers, All",Natural Resources,4.5
"Rail Yard Engineers,",Transport Ops,4.4
Manufactured Buildin,Construction,4.3
Log Graders and Scal,Natural Resources,4.2
"Extraction Workers, ",Construction,4.2
Commercial Divers,Maintenance,4.1
Camera and Photograp,Repair Installation,4
Gas Compressor and G,Transport Ops,3.9
Embalmers,Personal Care,3.7
Pile-Driver Operator,Construction,3.7
"Rock Splitters, Quar",Construction,3.7
"Roof Bolters, Mining",Construction,3.7
Bridge and Lock Tend,Transport Ops,3.7
Travel Guides,Travel,3.6
Terrazzo Workers and,Construction,3.6
Shoe Machine Operato,Production,3.6
Motorboat Operators,Transport Ops,3.6
Sociologists,Science,3.5
Home Economics Teach,Teaching,3.5
"Patternmakers, Metal",Production,3.4
Historians,Science,3.3
Mathematicians,Science,3.1
Genetic Counselors,Therapeutic,3.1
Farm Labor Contracto,Agribusiness,3
Hoist and Winch Oper,Construction,2.9
Agricultural Enginee,Systems,2.7
Loading Machine Oper,Construction,2.6
Communications Equip,Admin Support,2.4
Mathematical Science,Science,2.2
Forestry and Conserv,Teaching,2.2
Mining Machine Opera,Construction,2.2
Segmental Pavers,Construction,2.1
Astronomers,Science,2
"Model Makers, Wood",Production,1.9
Watch Repairers,Repair Installation,1.8
"Patternmakers, Wood",Production,1.8
Dredge Operators,Construction,1.8
Industrial-Organizat,Counseling,1.7
Forest Fire Inspecto,Emergency Svcs,1.7
Refractory Materials,Maintenance,1.6
Geographers,Science,1.5
Mine Shuttle Car Ope,Transport Ops,1.5
Locomotive Firers,Transport Ops,1.2
Radio Operators,Journalism,0.9
Prosthodontists,Therapeutic,0.9
Timing Device Assemb,Production,0.8
"Fabric Menders, Exce",Repair Installation,0.7
Mathematical Technic,Science,0.6
Sales,Marketing,
Restaurants,Hospitality,
Admin Support,Business Mgmt,
Therapeutic,Health Science,
Transport Ops,Logistics,
Lodging,Hospitality,
General Mgmt,Business Mgmt,
Personal Care,Human Svcs,
Repair Installation,Manufacturing,
Teaching,Education,
Accounting,Finance,
Construction,Architecture,
Children Svcs,Human Svcs,
Maintenance,Architecture,
Production,Manufacturing,
Security,Law,
Agribusiness,Agriculture,
Ops Mgmt,Business Mgmt,
Programming,Technology,
Legal,Law,
Facilities,Logistics,
Law Enforcement,Law,
Info Support,Technology,
Research,Marketing,
Business Finance,Finance,
Health Informatics,Health Science,
HR Mgmt,Business Mgmt,
QA,Manufacturing,
Plants,Agriculture,
Banking,Finance,
Insurance,Finance,
Sales and Service,Logistics,
Corrections,Law,
Networks,Technology,
Recreation,Hospitality,
Family Svcs,Human Svcs,
Marketing Mgmt,Marketing,
Securities,Finance,
Business Info Mgmt,Business Mgmt,
Support,Health Science,
Emergency Svcs,Law,
Process Dvlpmt,Manufacturing,
Design,Architecture,
Professional Support,Education,
Engineering,Science Tech Eng Math,
Governance,Government,
Animal Systems,Agriculture,
Visual Arts,Arts,
Comms,Marketing,
Administration,Education,
Telecomm,Arts,
Diagnostics,Health Science,
Planning Mgmt,Logistics,
Printing,Arts,
Performing Arts,Arts,
Web Comms,Technology,
Counseling,Human Svcs,
Travel,Hospitality,
Journalism,Arts,
Public Mgmt,Government,
Merchandising,Marketing,
Enviro Svcs,Agriculture,
Biotech,Health Science,
Regulation,Government,
Science,Science Tech Eng Math,
Taxation,Government,
Systems,Agriculture,
Natural Resources,Agriculture,
Food Products,Agriculture,
National Security,Government,
Consumer Svcs,Human Svcs,
Planning,Government,
Transport Mgmt,Logistics,
Marketing,World of Jobs,
Hospitality,World of Jobs,
Business Mgmt,World of Jobs,
Health Science,World of Jobs,
Logistics,World of Jobs,
Human Svcs,World of Jobs,
Manufacturing,World of Jobs,
Education,World of Jobs,
Finance,World of Jobs,
Architecture,World of Jobs,
Law,World of Jobs,
Agriculture,World of Jobs,
Technology,World of Jobs,
Science Tech Eng Math,World of Jobs,
Government,World of Jobs,
Arts,World of Jobs,
World of Jobs,,
